tconst,startYear,primaryTitle,CreativeType,ProductionBudget,DomesticBoxOffice,WorldwideBoxOffice,averageRating,ROI,PROI
tt2622240,2013,Deadpool,Super Hero,"$58,000,000 ","$363,070,709 ","$781,947,691 ",5.0,"$723,947,691 ",12.48 
tt2631186,2015,Baahubali: The Beginning,Historical Fiction,"$40,000,000 ","$6,738,000 ","$26,736,665 ",8.0,"($13,263,335)",(0.33)
tt2650286,2012,Sultan,Contemporary Fiction,"$11,000,000 ","$5,599,781 ","$72,989,781 ",5.1,"$61,989,781 ",5.64 
tt2679042,2015,Hitman: Agent 47,Contemporary Fiction,"$35,000,000 ","$22,467,450 ","$82,182,803 ",5.7,"$47,182,803 ",1.35 
tt2711176,2012,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",4.6,"$668,058,221 ",4.45 
tt2748608,2013,Max Steel,Science Fiction,"$10,000,000 ","$3,818,664 ","$4,563,080 ",6.6,"($5,436,920)",(0.54)
tt2802144,2014,Kingsman: The Secret Service,Contemporary Fiction,"$94,000,000 ","$128,261,724 ","$404,561,724 ",7.7,"$310,561,724 ",3.30 
tt2814388,2013,Logan,Super Hero,"$127,000,000 ","$226,277,068 ","$614,202,315 ",4.5,"$487,202,315 ",3.84 
tt2820852,2015,Furious 7,Contemporary Fiction,"$190,000,000 ","$353,007,020 ","$1,514,553,486 ",7.1,"$1,324,553,486 ",6.97 
tt2827346,2013,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",8.0,"($25,684,211)",(0.86)
tt2908446,2015,The Divergent Series: Insurgent,Science Fiction,"$110,000,000 ","$130,179,072 ","$295,075,882 ",6.2,"$185,075,882 ",1.68 
tt2938956,2015,The Transporter Refueled,Contemporary Fiction,"$22,000,000 ","$16,029,670 ","$69,698,495 ",5.1,"$47,698,495 ",2.17 
tt2975590,2016,Batman v Superman: Dawn of Justice,Super Hero,"$263,000,000 ","$330,360,194 ","$872,395,091 ",6.4,"$609,395,091 ",2.32 
tt3014866,2016,Criminal,Science Fiction,"$31,500,000 ","$14,708,696 ","$38,771,262 ",6.3,"$7,271,262 ",0.23 
tt3026038,2013,Deadpool,Super Hero,"$58,000,000 ","$363,070,709 ","$781,947,691 ",7.7,"$723,947,691 ",12.48 
tt3035862,2013,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",6.1,"$668,058,221 ",4.45 
tt3042592,2014,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.2,"$4,856,688 ",0.37 
tt3045616,2015,Mortdecai,Contemporary Fiction,"$60,000,000 ","$7,696,134 ","$30,396,134 ",5.5,"($29,603,866)",(0.49)
tt3072482,2015,Hardcore Henry,Science Fiction,"$2,000,000 ","$9,252,038 ","$17,187,434 ",6.7,"$15,187,434 ",7.59 
tt3198008,2013,Criminal,Science Fiction,"$31,500,000 ","$14,708,696 ","$38,771,262 ",6.6,"$7,271,262 ",0.23 
tt3315342,2017,Logan,Super Hero,"$127,000,000 ","$226,277,068 ","$614,202,315 ",8.1,"$487,202,315 ",3.84 
tt3337660,2014,Suicide Squad,Super Hero,"$175,000,000 ","$325,100,054 ","$745,744,980 ",8.3,"$570,744,980 ",3.26 
tt3344946,2015,Ant-Man,Super Hero,"$130,000,000 ","$180,202,163 ","$518,858,449 ",7.0,"$388,858,449 ",2.99 
tt3371366,2017,Transformers: The Last Knight,Science Fiction,"$217,000,000 ","$130,168,683 ","$602,893,340 ",5.2,"$385,893,340 ",1.78 
tt3385516,2016,X-Men: Apocalypse,Super Hero,"$178,000,000 ","$155,442,489 ","$542,537,546 ",6.9,"$364,537,546 ",2.05 
tt3393786,2016,Jack Reacher: Never Go Back,Contemporary Fiction,"$60,000,000 ","$58,697,076 ","$159,946,489 ",6.1,"$99,946,489 ",1.67 
tt3439676,2013,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",6.0,"$668,058,221 ",4.45 
tt3450958,2017,War for the Planet of the Apes,Science Fiction,"$152,000,000 ","$146,880,162 ","$489,592,267 ",7.4,"$337,592,267 ",2.22 
tt3498820,2016,Captain America: Civil War,Super Hero,"$250,000,000 ","$408,084,349 ","$1,151,918,521 ",7.8,"$901,918,521 ",3.61 
tt3501632,2017,Thor: Ragnarok,Super Hero,"$180,000,000 ","$315,058,289 ","$850,482,778 ",7.9,"$670,482,778 ",3.72 
tt3522806,2016,Mechanic: Resurrection,Contemporary Fiction,"$40,000,000 ","$21,218,403 ","$125,729,635 ",5.7,"$85,729,635 ",2.14 
tt3526322,2003,American Made,Dramatization,"$50,000,000 ","$51,342,000 ","$135,569,212 ",7.3,"$85,569,212 ",1.71 
tt3532216,2017,American Made,Dramatization,"$50,000,000 ","$51,342,000 ","$135,569,212 ",7.1,"$85,569,212 ",1.71 
tt3650484,2015,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.6,"$4,856,688 ",0.37 
tt3707314,2014,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",8.5,"($25,684,211)",(0.86)
tt3715104,2014,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.9,"$4,856,688 ",0.37 
tt3717252,2016,Underworld: Blood Wars,Fantasy,"$35,000,000 ","$30,353,973 ","$81,209,222 ",5.7,"$46,209,222 ",1.32 
tt3789918,2014,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",8.8,"$4,856,688 ",0.37 
tt3802576,2015,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.4,"$4,856,688 ",0.37 
tt3863552,2015,Bajrangi Bhaijaan,Contemporary Fiction,"$13,000,000 ","$8,178,001 ","$121,778,347 ",8.1,"$108,778,347 ",8.37 
tt3877728,2015,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.9,"$4,856,688 ",0.37 
tt3910224,2014,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.0,"$4,856,688 ",0.37 
tt4028068,2014,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",5.2,"$668,058,221 ",4.45 
tt4046784,2015,Maze Runner: The Scorch Trials,Science Fiction,"$61,000,000 ","$81,697,192 ","$310,566,162 ",6.3,"$249,566,162 ",4.09 
tt4048968,2015,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",7.6,"($25,684,211)",(0.86)
tt4088324,2015,Collide,Contemporary Fiction,"$29,200,000 ","$2,280,004 ","$5,466,698 ",3.7,"($23,733,302)",(0.81)
